person_id,face_path,eye_path,skin_path,mouth_path,profile_path,dominant_dosha,secondary_dosha,confidence,dosha_label,face_shape,jawline_type,cheek_fullness,forehead_type,eye_size,eye_shape,eye_redness,dark_circles,lip_fullness,lip_moisture,teeth_alignment,skin_texture,skin_oiliness,acne_presence,redness_presence,nose_shape,chin_shape,jaw_definition,vata_score,pitta_score,kapha_score,notes
1,data/dosha/kapha/1/face.jpg,data/dosha/kapha/1/eye.jpg,data/dosha/kapha/1/skin.jpg,data/dosha/kapha/1/mouth.jpg,data/dosha/kapha/1/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
2,data/dosha/pitta/2/face.jpg,data/dosha/pitta/2/eye.jpg,data/dosha/pitta/2/skin.jpg,data/dosha/pitta/2/mouth.jpg,data/dosha/pitta/2/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
3,data/dosha/kapha/3/face.jpg,data/dosha/kapha/3/eye.jpg,data/dosha/kapha/3/skin.jpg,data/dosha/kapha/3/mouth.jpg,data/dosha/kapha/3/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
4,data/dosha/kapha/4/face.jpg,data/dosha/kapha/4/eye.jpg,data/dosha/kapha/4/skin.jpg,data/dosha/kapha/4/mouth.jpg,data/dosha/kapha/4/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
5,data/dosha/vata/5/face.jpg,data/dosha/vata/5/eye.jpg,data/dosha/vata/5/skin.jpg,data/dosha/vata/5/mouth.jpg,data/dosha/vata/5/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
6,data/dosha/vata/6/face.jpg,data/dosha/vata/6/eye.jpg,data/dosha/vata/6/skin.jpg,data/dosha/vata/6/mouth.jpg,data/dosha/vata/6/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
7,data/dosha/kapha/7/face.jpg,data/dosha/kapha/7/eye.jpg,data/dosha/kapha/7/skin.jpg,data/dosha/kapha/7/mouth.jpg,data/dosha/kapha/7/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
8,data/dosha/vata/8/face.jpg,data/dosha/vata/8/eye.jpg,data/dosha/vata/8/skin.jpg,data/dosha/vata/8/mouth.jpg,data/dosha/vata/8/profile.jpg,vata,kapha,0.82,vata_kapha,long_slender,narrow,low,narrow,small_medium,irregular,none,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,no,narrow,pointed,light,0.5,0.1,0.4,auto_annotated_from_vata_kapha_pattern
9,data/dosha/pitta/9/face.jpg,data/dosha/pitta/9/eye.jpg,data/dosha/pitta/9/skin.jpg,data/dosha/pitta/9/mouth.jpg,data/dosha/pitta/9/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
10,data/dosha/kapha/10/face.jpg,data/dosha/kapha/10/eye.jpg,data/dosha/kapha/10/skin.jpg,data/dosha/kapha/10/mouth.jpg,data/dosha/kapha/10/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
